epoch,train_loss,val_loss,precision,recall,iou
0,1.0940143217643101,1.0114318430423737,0.416108176112175,0.7082348465919495,0.28428884968161583
1,0.9181999117136002,0.9231050908565521,0.7646077275276184,0.3808397203683853,0.3354737013578415
2,0.9138354410727819,0.9331949949264526,0.4498772583901882,0.809866338968277,0.343565683811903
3,0.7966098338365555,0.8536195755004883,0.4334455356001854,0.7199507355690002,0.32719850540161133
4,0.7523847073316574,0.47858960181474686,0.7588206231594086,0.8044855296611786,0.6380900740623474
5,0.7380537738402685,0.8772253692150116,0.4379175342619419,0.7798414826393127,0.335549920797348
6,0.7121446654200554,0.5762535333633423,0.7137551605701447,0.7760573625564575,0.5865440666675568
7,0.692590186993281,0.6865509450435638,0.6882817447185516,0.5869647562503815,0.4699845016002655
8,0.6902173012495041,0.7182421088218689,0.6492237746715546,0.655255138874054,0.48606863617897034
9,0.7139042069514593,0.7392023801803589,0.5822205990552902,0.7869948446750641,0.4907122999429703
10,0.6738156278928121,0.7207820415496826,0.596077486872673,0.6128231287002563,0.4344216585159302
11,0.6796068126956621,0.498166099190712,0.7328961789608002,0.7887296974658966,0.6259845495223999
12,0.6600068012873331,0.6040035784244537,0.7626877427101135,0.7501334846019745,0.5903750061988831
13,0.658192460735639,0.7083455324172974,0.6262471675872803,0.6780564785003662,0.48883190751075745
14,0.6361599837740263,0.7562721371650696,0.5954611599445343,0.7794783115386963,0.4854099899530411
15,0.6262792820731798,0.49031388759613037,0.7852260768413544,0.7697535753250122,0.6345767080783844
16,0.6195264657338461,0.6902309060096741,0.720305860042572,0.6320780217647552,0.5115136951208115
17,0.6371533448497454,0.8945357799530029,0.42776523157954216,0.7255247831344604,0.3406110629439354
18,0.6150994598865509,0.47701896727085114,0.7726394832134247,0.7985048592090607,0.6484198272228241
19,0.6263410945733389,0.7315620183944702,0.6300702691078186,0.649713933467865,0.4684133231639862
20,0.6062819013992945,0.8194945156574249,0.5370265692472458,0.728492796421051,0.42861299216747284
21,0.6040106589595476,0.8259911835193634,0.7186622321605682,0.49603481590747833,0.4099101722240448
22,0.6066146964828173,0.5077480673789978,0.7172664999961853,0.827904611825943,0.6325100213289261
23,0.592767633497715,0.5584736764431,0.7946967780590057,0.7221428751945496,0.6147842109203339
24,0.6104515865445137,0.6838245093822479,0.7068914175033569,0.5646022260189056,0.47276780009269714
